term;tfidf
people people;42.83523564423408
like like;28.046780124039213
article article;24.250060027701014
think think;23.372147573276955
really really;22.878517056729244
would would;22.875248902673793
feel feel;20.778191646804085
get get;20.43857187427417
thing thing;20.248060258237032
one one;20.066727009035585
dont dont;20.03088089488048
know know;19.978379975752976
make make;18.65384982523879
country country;18.480170764525933
need need;18.384311737818027
life life;18.21239902397845
could could;16.90087105573937
going going;16.144728329107352
time time;15.633909936160602
even even;15.60429494552623
child child;15.511326764802474
many many;15.434555839690022
way way;15.196694226628408
something something;14.965099438197809
sad sad;14.757126301746528
read read;14.450164396798044
much much;14.409983945841525
world world;14.091687027978502
go go;13.573035722172046
animal animal;13.527706462957777
family family;13.520573057793731
see see;13.165680537968857
cant cant;12.985337556141198
help help;12.91605381957101
bad bad;12.766724783094626
take take;12.56969752391137
im im;12.310519008316163
hope hope;12.247535794445307
trump trump;12.092369911463996
someone someone;12.048002999267664
woman woman;11.753132609719419
believe believe;11.600209736078773
seems seems;11.510726234970816
want want;11.472448387270806
problem problem;11.46521894577608
story story;11.443736501961988
also also;11.413982786843803
right right;11.282944091235576
good good;10.741862127597749
never never;10.68242595881916
still still;10.5497393533051
lot lot;10.406451810890792
day day;10.300116590929326
issue issue;10.23719706426702
well well;10.219201606470278
year year;10.114220795052447
change change;10.04884348781627
live live;9.982381768319312
person person;9.95906348587634
sure sure;9.935364526620608
care care;9.857635240076343
read article;9.679335533738518
imagine imagine;9.679168642057848
place place;9.600439961400772
kid kid;9.575433683398758
trying trying;9.549734274182647
come come;9.516517058891443
situation situation;9.491418578351412
police police;9.436731915878399
kind kind;9.33469778039117
government government;9.128639471691228
human human;9.123622977379226
better better;8.894740653100543
must must;8.809309636020059
guy guy;8.783696605294532
another another;8.740351200404413
hard hard;8.68276082979344
say say;8.659955373694174
understand understand;8.480201238281138
man man;8.477228871118971
find find;8.435856390417667
killed killed;8.331637652431924
always always;8.240531857000184
money money;8.132043655121146
water water;7.892134400956213
maybe maybe;7.876265893222722
back back;7.703491384981276
happen happen;7.64278843712879
didnt didnt;7.567296718515157
reason reason;7.5172254224845245
area area;7.506884415140855
thought thought;7.467016620242997
since since;7.416269701916367
got got;7.403053137631562
happened happened;7.3797685172686895
little little;7.346200092853079
getting getting;7.265918788221729
anything anything;7.25661603684897
around around;7.22529426668224
made made;7.22486699448655
war war;7.068889501648934
news news;7.0480268926099345
climate climate;7.030878494583207
state state;7.0306245502104145
long long;7.018359399433577
put put;6.967788543155894
stop stop;6.93621971298849
able able;6.867790665204077
friend friend;6.815504372204495
may may;6.809287822195386
said said;6.755101359736134
happening happening;6.7498037979723335
doesnt doesnt;6.745489090830496
nothing nothing;6.742815139048017
everyone everyone;6.728562837791471
work work;6.704364569866356
feel like;6.700979158197164
enough enough;6.69093212927658
especially especially;6.663313008836395
done done;6.614750384354572
show show;6.59154736904642
let let;6.590902897091881
away away;6.573654688727892
end end;6.532916744748942
try try;6.5302178251795135
wonder wonder;6.523555684038
every every;6.461776091516144
hear hear;6.383254529341438
poor poor;6.378961327185154
thats thats;6.36663051764577
death death;6.360883219015536
died died;6.356255470430947
parent parent;6.3330748229048295
though though;6.329661227612767
climate change;6.324551865769896
reading reading;6.312856183593818
pretty pretty;6.2586666487728255
guess guess;6.250079802322941
mean mean;6.231527284721787
crazy crazy;6.178555021089182
